Concelho;Long;Lat;3/24/20;3/25/20;3/26/20;3/27/20;3/28/20;3/29/20;3/30/20;3/31/20;4/1/20;4/2/20;4/3/20;4/4/20;4/5/20;4/6/20;4/7/20;4/8/20;4/9/20;4/10/20;4/11/20;4/12/20;4/13/20
Abrantes;-8,183582796;39,46907532;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;3;4;4;4;4
Agueda;-8,439901817;40,58175662;3;3;10;10;13;15;0;14;19;20;22;24;24;25;26;26;30;31;32;32;32
Aguiar Da Beira;-7,529555453;40,78036565;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alandroal;-7,402501496;38,60683104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albergaria-A-Velha;-8,495317344;40,69678309;5;5;21;28;28;32;50;31;32;34;52;53;54;54;54;54;52;52;52;52;52
Albufeira;-8,234269336;37,10949772;5;8;18;22;22;19;21;30;31;34;38;39;40;44;46;45;50;54;52;52;55
AlcAcer Do Sal;-8,49636492;38,37789597;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5
Alcanena;-8,679197511;39,47929748;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;3;3;3;3;3;3
Alcobaca;-8,990890199;39,53092605;0;0;0;0;0;0;0;0;3;3;3;5;5;6;7;7;7;7;7;7;7
Alcochete;-8,93518249;38,73382259;3;3;3;3;3;0;3;4;5;5;5;7;7;8;7;7;7;9;9;9;9
Alcoutim;-7,668177441;37,42387057;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alenquer;-9,021383892;39,06917181;0;0;0;0;0;0;4;4;5;7;8;9;9;9;10;10;11;14;15;15;15
AlfAndega Da FE;-6,953761684;41,35267447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlijO;-7,487695096;41,28854857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aljezur;-8,789297806;37,32435137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aljustrel;-8,168082108;37,89446216;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Almada;-9,1806353;38,64830227;31;35;35;35;53;64;68;71;79;86;91;111;121;125;130;134;138;140;142;144;148
Almeida;-6,892775603;40,62956544;0;0;0;3;3;0;6;0;0;0;0;0;0;0;0;0;5;6;6;6;6
Almeirim;-8,605527341;39,17442928;0;3;3;3;7;7;9;8;8;8;8;8;8;8;8;8;9;9;10;10;10
AlmodOvar;-8,069879535;37,50067187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alpiarca;-8,570560597;39,24113071;0;0;0;0;3;0;3;3;3;3;3;3;3;4;6;6;6;6;5;6;6
Alter Do ChAo;-7,691187098;39,21297141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AlvaiAzere;-8,381253972;39,82669044;0;0;3;3;4;0;4;4;5;5;17;22;22;22;22;22;22;22;22;23;23
Alvito;-8,042415091;38,24462119;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Amadora;-9,225111809;38,75809024;21;24;31;31;41;53;63;62;68;79;82;91;99;107;108;113;129;147;153;155;159
Amarante;-8,085336595;41,28085322;0;0;0;3;4;0;6;8;9;11;12;15;21;21;27;27;30;32;35;38;39
Amares;-8,363205265;41,63797468;0;0;6;7;8;9;9;11;13;17;17;17;18;18;19;19;21;24;25;26;28
Anadia;-8,457830215;40,45296207;0;0;0;4;4;0;5;5;5;5;7;10;11;11;12;13;12;13;13;13;15
AnsiAo;-8,426558431;39,93028529;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;4;4;4;4;4
Arcos De Valdevez;-8,417847717;41,86494381;3;3;8;8;7;9;9;9;11;12;12;19;21;21;26;26;32;34;39;42;42
Arganil;-8,028652671;40,23478995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;4
Armamar;-7,685048654;41,09843091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arouca;-8,289758552;40,93227278;0;0;0;0;8;10;12;12;14;14;14;15;15;16;17;17;23;23;25;26;26
Arraiolos;-7,956237698;38,77310275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arronches;-7,239485525;39,11859195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arruda Dos Vinhos;-9,084852561;38,9820046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aveiro;-8,62928818;40,64112212;6;6;46;55;62;95;95;70;87;127;130;140;141;142;151;152;153;158;160;164;165
Avis;-7,886814896;39,0761478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Azambuja;-8,896667025;39,12586294;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BaiAo;-7,999879619;41,14550129;0;0;0;0;0;0;4;0;4;4;5;5;7;7;7;7;7;6;6;6;6
Barcelos;-8,612957848;41,53394149;3;3;15;20;20;29;35;39;55;65;70;83;90;93;103;107;122;126;133;137;141
Barrancos;-7,052187884;38,1481883;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Barreiro;-9,055125529;38,64554851;5;6;6;6;18;17;23;37;38;49;53;54;54;54;56;57;56;74;74;74;75
Batalha;-8,794771818;39,64800466;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4;4;4;4;4;4
Beja;-7,872482931;38,00848079;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;5;5;5;6;6;6
Belmonte;-7,334064886;40,30405165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Benavente;-8,81285951;38,87502162;0;0;0;0;6;13;12;7;10;12;13;22;23;23;24;25;25;26;26;27;27
Bombarral;-9,164149129;39,27480012;0;0;0;0;0;0;0;0;0;0;0;3;3;3;4;4;3;3;0;0;3
Borba;-7,469859731;38,80224997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Boticas;-7,702808069;41,68642009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Braga;-8,424916111;41,54779435;21;25;98;131;152;208;213;220;245;280;305;333;349;358;407;423;521;546;579;621;647
Braganca;-6,756357621;41,79366647;4;4;19;20;25;38;44;48;49;52;53;52;64;65;71;71;76;75;82;84;85
Cabeceiras De Basto;-7,982777031;41,51334058;0;0;0;0;0;0;0;0;0;0;0;4;5;5;5;5;4;6;7;8;8
Cadaval;-9,075673169;39,236748;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;3;3;3;3
Caldas Da Rainha;-9,10964618;39,41136589;0;0;0;0;8;0;8;0;0;0;0;0;0;0;0;0;4;4;6;7;7
Caminha;-8,829899778;41,84563623;0;0;3;3;3;0;3;3;3;3;4;6;7;7;8;8;8;9;9;9;9
Campo Maior;-7,045229932;39,02196552;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cantanhede;-8,619414253;40,35559079;0;0;4;4;7;8;8;11;15;18;19;22;22;22;22;24;26;28;28;28;27
Carrazeda De AnsiAes;-7,30949167;41,2361627;0;0;0;0;3;0;3;3;3;3;3;3;3;3;4;4;0;5;5;5;5
Carregal Do Sal;-7,988482416;40,44851221;0;0;0;0;0;0;0;0;0;0;3;0;0;0;3;4;6;6;7;7;7
Cartaxo;-8,806017082;39,15756683;4;4;4;4;13;11;13;9;0;9;9;10;12;14;15;16;18;18;18;18;18
Cascais;-9,38489275;38,71707915;39;43;44;44;81;110;119;133;134;149;174;187;190;197;203;218;226;238;251;261;264
Castanheira De PEra;-8,195807537;40,01994882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelo Branco;-7,485286777;39,85220019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castelo De Paiva;-8,291076899;41,03306896;0;0;0;0;0;0;0;0;0;0;3;3;4;5;5;5;5;7;7;7;7
Castelo De Vide;-7,477125062;39,45866673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castro Daire;-7,927807926;40,9062041;0;0;0;0;0;0;22;0;4;5;5;6;8;8;8;18;59;64;81;91;91
Castro Marim;-7,497539931;37,23424344;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Castro Verde;-8,056075008;37,70309043;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Celorico Da Beira;-7,39027102;40,62611648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;7;7;7
Celorico De Basto;-8,036542065;41,40231497;0;0;0;0;0;0;0;0;3;3;3;4;6;6;7;7;8;8;8;9;9
Chamusca;-8,410421616;39,33167755;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
